ticket_id,message,category,
1,I can't log into my account,Login Issue,
2,Payment failed during checkout,Payment Issue,
3,My order was delivered late,Delivery Issue,
4,How do I reset my password?,Login Issue,
5,The product I received is damaged,Product Issue,
6,I need to cancel my order,Order Issue,
7,Received the wrong item in my order,Product Issue,
8,My refund hasn't been processed yet,Refund Issue,
9,Unable to update my shipping address,Account Issue,
10,Discount code is not working at checkout,Payment Issue,
11,My account got locked,Login Issue,
12,Product description on website is incorrect,Product Issue,
13,How do I change my payment method?,Payment Issue,
14,I want to unsubscribe from promotional emails,Account Issue,
15,The website is not loading properly,Technical Issue,
16,Delivery tracking number is not valid,Delivery Issue,
17,Can't reset my account password,Login Issue,
18,Product quality is not as expected,Product Issue,
19,"Received incomplete order, missing items",Order Issue,
20,How to contact customer service directly?,General Query,
21,I was charged twice for the same order,Payment Issue,
22,Unable to apply for return request,Refund Issue,
23,My app keeps crashing on startup,Technical Issue,
24,Received expired product,Product Issue,
25,I want to update my billing details,Account Issue,
26,Cannot apply discount code at checkout,Payment Issue,
27,Order tracking link is broken,Delivery Issue,
28,How do I delete my account permanently?,Account Issue,
29,Wrong product color delivered,Product Issue,
30,My account keeps getting logged out automatically,Login Issue,
31,Payment deducted but order not placed.,Payment Issue,
32,Need assistance in changing delivery date.,Product Issue,
33,"Received duplicate product, need to return.",Product Issue,
34,Customer support phone number not reachable.,Delivery Issue,
35,Unable to update email address in profile.,Account Issue,
36,Product packaging was damaged upon delivery.,Product Issue,
37,No option to reschedule delivery.,Account Issue,
38,App shows error while processing payment.,Payment Issue,
39,Cannot find order history in my account.,Login Issue,
40,I want to change the product after placing order.,Product Issue,
41,Refund is delayed beyond expected time.,Product Issue,
42,Trouble adding items to cart.,Account Issue,
43,Got charged for a cancelled order.,Payment Issue,
44,How to use store credits on checkout?,Payment Issue,
45,Product warranty details missing.,Product Issue,
46,Received empty package.,Product Issue,
47,Issue while redeeming gift card.,Product Issue,
48,Can't update phone number in my profile.,Login Issue,
49,Duplicate charge on credit card statement.,Product Issue,
50,Need invoice copy for my order.,Order Issue,
51,I want to change delivery address after ordering.,Account Issue,
52,Unable to apply gift voucher at checkout.,Payment Issue,
53,Order confirmation email not received.,Product Issue,
54,How can I update my password?,Login Issue,
55,"Received defective product, want replacement.",Product Issue,
56,My loyalty points are not showing up.,Login Issue,
57,Need help to update payment details.,Account Issue,
58,Website freezes during checkout process.,Payment Issue,
59,Received fewer items than ordered.,Product Issue,
60,Want to cancel subscription plan.,Account Issue,
61,Order status not updating on website.,Product Issue,
62,How to activate cashback offer?,Account Issue,
63,Received wrong size product.,Product Issue,
64,Trouble uploading documents for verification.,Payment Issue,
65,Chat support is not responding.,Product Issue,
66,Delay in refund after return.,Refund Issue,
67,Coupon code expired too early.,Payment Issue,
68,My credit card was charged incorrectly.,Payment Issue,
69,Want to remove saved addresses.,Account Issue,
70,How do I track my refund status?,Login Issue,
71,Received duplicate email confirmations.,Product Issue,
72,Need help updating contact preferences.,Product Issue,
73,Unable to download invoice from app.,Account Issue,
74,Product image doesn't match received item.,Product Issue,
75,I want to deactivate auto-renewal.,Account Issue,
76,Account verification link expired.,Login Issue,
77,I want to switch delivery slots.,Account Issue,
78,Refund amount is incorrect.,Product Issue,
79,Subscription renewal failed.,Payment Issue,
80,Can't change product quantity in cart.,Product Issue,
81,"Delivery partner was rude, want to report.",Account Issue,
82,Gift wrapping option missing at checkout.,Payment Issue,
83,"Trouble signing up, verification not working.",Payment Issue,
84,Extra charges applied without notice.,Product Issue,
85,Can't remove items from wishlist.,Login Issue,
86,Delivery marked completed but package not received.,Product Issue,
87,Account locked after multiple login attempts.,Login Issue,
88,Problem applying store credits to order.,Account Issue,
89,Can't update notification settings in app.,Login Issue,
90,Need assistance reactivating deactivated account.,Login Issue,
91,Received wrong invoice details.,Product Issue,
92,Can't change preferred language in app.,Login Issue,
93,Payment option missing during checkout.,Payment Issue,
94,Unable to apply cashback reward points.,Account Issue,
95,My order got cancelled without reason.,Login Issue,
96,Cannot reset PIN for payment method.,Payment Issue,
97,Invoice shows incorrect tax calculation.,Product Issue,
98,Package arrived open/tampered.,Product Issue,
99,Difficulty finding return policy details.,Account Issue,
100,Unable to find support contact for bulk orders.,Account Issue,
